Name,Date,Content
a*****9,2024-Jan-14 05:59:04,Performance:6/5 🌟 Portability:5/5 🌟  Arrive safely and just in time for me to use this device during my 24 hr shift
megatbadiuzzepoh,2023-Oct-23 04:22:44,Performance:mmg tiptop  laju gila kipas dia mmg best 👍
razifsemait,2024-Jan-23 04:20:32,Barang sampai dengan selamat dan sempurna... Padu... Angin kuat
k*****3,2024-Jan-12 02:43:40,Performance:Outstanding Portability:Bring it for sport and work
p*****e,2023-Nov-29 15:46:16,Receive in condition Nice🤩 Finaly can use to clean my car dust
d*****a,2024-Mar-24 02:18:19,Biasa sangat..tak berbaloi dgn harga   Tak excited langsung nak guna.
s*****a,2024-Mar-18 02:17:19,Performance:Very good  Love it.. Tq seller
i*****5,2024-Jan-10 00:07:12,Items arrived in good conditions. Works well. Thank you.
kevinnys,2024-Jan-15 04:36:33,Performance:strong wind Portability:solid  Fast delivery
chchong8,2023-Oct-13 03:36:55,Good product wind very strong and solid 👍👍👍👍👍
n*****7,2024-Jan-16 02:08:10,"Received in good condition, fast delivery, recommended ⭐⭐⭐🌟⭐⭐⭐"
bungaiterung86,2023-Oct-08 05:28:05,Performance:great performance Portability:good  Really good.
lbirdwong,2023-Oct-02 11:08:57,Performance:Excellent Portability:Very flexible  Speedy delivery!
a*****a,2024-Feb-23 02:38:39,Portability:good quality Performance:good  Worth it to buy
adamfaiz87,2023-Nov-30 06:44:42,"Performance:so unbelievable, my cat is scared Portability:we wish you not a merry Christmas but a Jisulife pouch to carry the accessories  I own 4 different models of Jisulife fan now.. they're all excellent for their own purposes.."
albertkct,2023-Oct-18 10:21:01,Performance:Good powerful  Soon i will repeat order if no problem this month
rajahidayah,2024-Mar-16 05:21:01,Performance:sgt bagus Portability:terbaik  Pelbagai guna. Berbaloi beli. 👍👍👍
liewyj388,2023-Oct-31 12:27:55,Portability:As per description Performance:Powerful and well build
gyver95,2024-Feb-29 12:47:59,"Quality is superb, but becareful when unplugging the nozzle attachment, it might pull the entire head off."
chiashenccs,2024-Mar-25 05:59:25,"Performance:Coooooolddd  working nice👍🏻,just didn't use bubble wrap to pack items, otherwise all great😁"
n*****s,2024-Feb-15 07:24:25,Portability:this is a beast. high speed. high flow.
ginman94,2024-Jan-14 03:36:48,Portability:mantap Performance:1% pun dah rasa power angin dia
stevensksaw,2024-Jan-03 16:51:00,Portability:Good Performance:strong wing  Worth to purchase
h*****p,2024-Feb-01 15:18:45,"Good finishing and sturdy, but has a design fault. Somewhat noisy especially at top speed."
goampre.bayoh,2024-Mar-02 07:40:57,Angin kipas kuat. Sangat memuaskan. Cuma agak bising sedikit.
w*****3,2024-Jan-19 13:31:04,Performance:👌很好 Portability:轻、风力大！  设计很美观！室外使用很适合！风力够大！ 有也附送配件可能当吹风筒使用！
yongsoonloong,2024-Jan-22 05:14:30,Good products good packaging good delivery
ongfuhgiin,2023-Dec-23 17:42:22,Good Packaging And Fast Delivery Thanks Seller🤩🤩🤩
waikwanchow,2024-Feb-11 08:44:45,Good quality product... fast delivery
yeohkianhui,2023-Oct-05 00:05:43,Delivery in Good condition. Quality assurance.
manapz,2024-Feb-15 10:44:13,nice n good quality.. mantap
nmlokmanhensem,2023-Dec-29 06:53:51,Portability:good quality Performance:good 5 stars
bubsanova,2024-Mar-13 11:04:03,Berfungsi dengan baik Angin kuat giler best
zainibuzzy,2023-Nov-30 12:39:41,Angin betul kuat.bising Tu seperti dijangka
eltonvaz,2024-Mar-01 21:22:25,Performance:Fan is strong but quality bad
jules72,2023-Dec-26 03:17:25,This product is so cool!
alongcrv3036,2024-Mar-25 08:39:31,Barang mmg padu baq hang
alamiru79,2023-Nov-29 03:21:16,Performance:x power sangat Portability:biasa je
muttakin.jhon,2023-Oct-18 15:19:21,Barang terbaik kipas sgt laju
monsterloi,2024-Jan-03 12:16:11,
hishamnaim93,2023-Dec-22 08:40:28,
nuremalia92,2024-Mar-21 10:54:12,Penghantaran laju sgt2..terbaik 👍
dixiontse,2023-Dec-04 06:36:55,
dixiontse,2023-Dec-26 07:43:11,
tatkee88,2023-Nov-29 12:31:20,
randylch95,2023-Nov-22 01:26:42,Can’t replace for the cap
botaktupai29,2023-Nov-30 08:55:45,Portability:good Performance:good  So good
cawek1891,2023-Dec-10 02:06:03,
easygo_lai,2024-Jan-23 14:28:28,GOOD PRODUCT 👍👍👍
baisahaja95,2023-Dec-01 06:44:17,Terbaikk mantapp !!
mivkml,2024-Jan-08 05:48:57,Superb!
ijat28,2024-Mar-27 09:08:44,
ibrahim85.,2023-Nov-25 01:25:08,
lestertee,2024-Jan-10 10:56:15,拿来清理电脑电器的灰尘，蛮方便
s*****4,2024-Mar-01 12:35:06,"Portability:Berat padu premium. Performance:Padu beb angin dia lain mcm sejuk.  Barang baik barang jadi.. Gila padu angin dia, puas hati siyes tak menyesal beli byk kelebihan dan kegunaannya.. Thanks seller you the best product kualiti the word's no. 1 portable fan brand.. ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐"
jawtzuu,2024-Mar-10 10:10:56,"Performance:High blowing power and speed trading off with quicker battery drain Portability:compact and convenient to carry wherever you go  This is just first trial and unboxing which I’m uncertain about its durability and performance hopefully it will exceed expectations and after giving it a few more trials and some time, I’ll return to provide a more comprehensive and accurate review of this blower."
_rsykg7ekl,2024-Mar-28 04:43:24,Performance:very good speed multiple speed gear. silent. hand size. good quality make Portability:hand size.  Really good buy
m*****5,2024-Mar-11 07:10:38,Portability:Handy Performance:above expectations  Parcel arrived in time without damage. Been searching for a good portable (powerful) hand fan and this is the ONE highly recommended by friends. Yes it is not cheap at all but worth the price you paying for. Don't waste money trial and errors but just 'bite the bullet' buy this one with no regret. Thanks seller.
puncakrezekimy,2024-Mar-27 17:22:08,Angin mmg padu. Level 100 dia mcm kita bawak kreta bukak tingkap masa 80km/j Cuma bunyi dia mcm drone skit.
_*****u,2024-Mar-26 10:11:32,"Performance:love it!  Angin kuat gila! Best! My husband loves it  Ingat kan order nya ship dari china, tapi dua hari je dah sampai. Fast service! Very good"
tsaykeng7,2024-Mar-23 13:59:34,"Performance:amazing wind power Portability:very handy  The variable speed from 1-100 is a lot of speed variants. Can use it like a hair dryer except it doesn't blow hot air. If the surroundings are warm, it will blow warm air. Have not tested the battery life span yet."
hanif137,2024-Mar-28 14:31:10,Barang sampai dalam keadaan baik.. bungkusan pun kemas jeZ
hizzafayaacob,2024-Feb-29 07:07:40,"Portability:Ringan dan mudah dibawa, but it will be better if u give a bag like a pouch to bring everywhere. Performance:It work great for every occasion  Best blind buy on 2024."
c*****3,2024-Mar-28 13:00:22,Performance:very good and strong performance Portability:good
aaw57,2024-Mar-12 05:21:57,Performance:lawa.. Padu Portability:bising  Klu guna sbgai kipas boleh pkai tp bising weh. Sesuai kegunaan lain. Ape.pun duit orang kan..  Lawo lawo sgt
nygerng,2024-Mar-28 01:11:50,"Delivery cepat, tapi battery tak tahan kalau buka max lever 100% battery tahan tak sampai 1 jam"
a*****k,2024-Mar-24 04:45:46,Performance:very good Portability:very portable  -fan is very loud but high -ofc it is exp but worth the money -can bring anywhere to travel -more than 2 time purchasing this for the fam
azlan_6473,2024-Mar-04 17:03:17,Portability:Everything when needed. Performance:Quite Extremely Impressive.  Best portable fan I've ever purchased in history.
benson_ng85,2024-Mar-25 02:24:33,Good... Good... Good...  Fast delivery... Fast delivery... Fast delivery...
k*****r,2024-Jan-24 15:47:24,Performance:good Portability:good  Good product quality. Value for money. Fast delivery. Recommended.
y*****t,2024-Mar-09 12:07:13,Performance:amazing Portability:quite portable for the size  Superb product. Perform as it claims.
greyxv,2024-Mar-12 09:16:29,The fan blade came off and the seller responded to my enquiry after my complain. The issue will be resolve. Great costumer service 👍🏻 recommended 👍🏻
f*****2,2024-Mar-24 08:51:26,Sumpah padu. Worth it. Angin memang kuat sangat. Was not expecting it to be this good. Recommended guys. Size cun bila pegang.
t*****m,2024-Mar-26 12:15:30,packing very good dilivery very fast quality ok  price also very good  thank you seller
hidalwati,2024-Mar-01 16:58:29,Performance:good Portability:good  Barang selamat sampai dengan baik dan tiada sebarang kerosakan
jeffreysim217,2024-Mar-28 12:14:49,"Portability:Wow so powerful fan , the best quality product. love it."
leonghing78,2024-Mar-20 12:52:31,Performance:Gooods Portability:nice to handle  The product is goods as well as expected. Hopefully can produce more powerful device in future.    Goooooooooods
alex504,2024-Mar-21 14:48:52,"Performance:product cover loose Portability:saller not response！！！  kedua kali beli dah ，kali ni beli barang tak cantik request return tak boleh, saller cakap bagi vaucher rm30 tapi cakap saja ,tungguh 1minggu tak reply !  kalau beli kena tengok lucky ! lucky dapat barang cantik tak lucky u punya pasai..."
s*****1,2024-Mar-14 10:57:57,"The seller's service is very good, and the product is of very good quality and durable."
s*****1,2024-Mar-14 10:56:46,"The seller's service is very good, and the product is of very good quality and durable."
stevenkow0921,2024-Mar-18 10:22:20,"Portability:good Performance:superb  Good quality,strong wind ,thank you seller received in good condition"
lai_yew,2024-Mar-19 10:25:02,Good price means good material.The wind speed is really strong.
8*****g,2024-Mar-08 08:14:02,"Performance:Good Portability:Ok  Is more heavy then i imagine but is a good product, strong wind!!"
zalery89,2024-Jan-27 06:49:42,Barang ok sangat.. barang sampai cepat. Terbaik seller. Recommended seller sangat2.. sorry gambar x kena mengena. Barang kat umah. Aku outstation
s*****2,2024-Feb-18 08:40:56,"Performance:Bagus Portability:sangat berguna  Syukur pada Allah ada rezeki lebih beli kipas jisulife ultra1 ni..bukan sekadar nak sejukan diri..ada pelbagai kegunaan,boleh keringkan rambut basah,pump belon,khemah angin,servis DSLR,cuci habuk komponen elektronik,macam saya buat partime servis car detailling boleh besih²kan habuk kereta,debu² lepas polish,mesin polish.1 speed pun dah power..tadi test speed 100 giler kuat wei angin dia..tembak angin kat gimbal..aku sangat2 berpuas hati..boleh beli pada seller ni tak sampai seminggu insyaAllah sampai dengan selamat ada buble wrap,bersyukur sangat² mudahkan segala urusan dunia dan akhirat..thank you seller dan kurier sampai awal,rekemen pada sesiapa nak beli..boleh beli kat sini..🌟🌟🌟🌟🌟👍🏻😀"
ariez.annz,2023-Dec-31 10:35:34,"Performance:amazing Portability:good  seller pos pada hari yang sama. barang amat premium dengan pelbagai aksesori, angin kuat, ada indicator masa cas. cuma bunyi enjin agak kuat. apa2 pun memang puas hati dengan kualiti barang. terima kasih seller dan abx(s'wak). shopee express dari pick up sampai serah kpd abx memang tetap mengecewakan macam kura2."
s*****k,2023-Dec-31 05:38:32,Performance:Good Portability:Good  Barang memang terbaik. Delivery pon cepat walaupun dr China. Order 25Dec smpi 30Dec. Memang puashati anginnya padu.
muhaiminaiman,2024-Mar-09 02:05:35,RM0 Kementerian Ekonomi: Daftar & kemas kini maklumat di sistem Pangkalan Data Utama (PADU) sebelum 31 Mac 2024. Pastikan maklumat lengkap & tepat.
baim491,2024-Jan-26 09:07:15,Ok
