Id,Score,Text
11,5,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan  just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service
12,5,one of my boys needed to lose some weight and the other didnt  i put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump  the higher food sits going stale  they both really go for this food  and my chubby boy has been losing about an ounce a week
13,1,my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food ive noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat
14,4,good flavor these came securely packed they were fresh and delicious i love these twizzlers
15,5,the strawberry twizzlers are my guilty pleasure  yummy six pounds will be around for a while with my son and i
16,5,my daughter loves twizzlers and this shipment of six pounds really hit the spot its exactly what you would expectsix packages of strawberry twizzlers
17,2,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them
18,5,i am very satisfied with my twizzler purchase  i shared these with others and we have all enjoyed them  i will definitely be ordering more
19,5,twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y  s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in  as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them allbr br i keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured  feet  m and weighted  pounds  kg and was made by y  s candies inc this recordbreaking twist became a guinness world record on july   this product is kosher thank you
20,5,candy was delivered very fast and was purchased at a reasonable price  i was home bound and unable to get to a store so this was perfect for me
21,5,my husband is a twizzlers addict  weve bought these many times from amazon because were government employees living overseas and cant get them in the country we are assigned to  theyve always been fresh and tasty packed well and arrive in a timely manner
22,5,i bought these for my husband who is currently overseas he loves these and apparently his staff likes them alsobr there are generous amounts of twizzlers in each ounce bag and this was well worth the price a hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers strawberry ounce bags pack of a
23,5,i can remember buying this candy as a kid and the quality hasnt dropped in all these years still a superb product you wont be disappointed with
24,5,i love this candy  after weight watchers i had to cut back but still have a craving for it
25,5,i have lived out of the us for over  yrs now and i so miss my twizzlers  when i go back to visit or someone visits me i always stock up  all i can say is yumbr sell these in mexico and you will have a faithful buyer more often than im able to buy them right now
26,5,product received is as advertisedbr br a hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers strawberry ounce bags pack of a
27,1,the candy is just red  no flavor  just  plan and chewy   i would never buy them again
28,4,i was so glad amazon carried these batteries  i have a hard time finding them elsewhere because they are such a unique size  i need them for my garage door openerbr great deal for the price
29,5,i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake  shes the one with the sweet tooth  they both loved these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free  i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsbr these are just excellent
30,5,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan  just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service
31,5,i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually noncoffee drinkerbr the little dolche guesto machine is super easy to use and prepares a really good coffeelattecappuccinoetc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and iam getting one myself 
32,5,this offer is a great price and a great taste thanks amazon for selling this productbr br staral
33,4,mccanns instant oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation  still the mccanns is as good as it gets for instant oatmeal its even better than the organic allnatural brands i have tried  all the varieties in the mccanns variety pack taste good  it can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issuebr br mccanns use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product  real sugar tastes better and is not as harmful as the other stuff one thing i do not like though is mccanns use of thickeners  oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum but this is a convenience product  maybe the guar gum is why after sitting in the bowl a while the instant mccanns becomes too thick and gluey
34,4,this is a good instant oatmeal from the best oatmeal brand  it uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you  great on a cold morning when you dont have time to make mccanns steel cut oats  the apple cinnamon is the best but the maple and brown sugar or the regular are good too  plus they dont require doctoring to actually tell the three flavors apart
35,5,instant oatmeal can become soggy the minute the water hits the bowl mccanns instant oatmeal holds its texture has excellent flavor and is good for you all at the same time mccanns regular oat meal is excellent too but may take a bit longer to prepare than most have time for in the morning this is the best instant brand ive ever eaten and a very close second to the noninstant varietybr br mccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar count boxes pack of 
36,4,mccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar count boxes pack of br br im a fan of the mccanns steelcut oats so i thought id give the instant variety a try i found it to be a hardy meal not too sweet and great for folks like me postbariatric surgery who need food that is palatable easily digestible with fiber but wont make you bloat
37,5,for those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store  i love mccanns instant oatmeal  all flavorsbr br thanksbr abby
38,5,what else do you need to know oatmeal instant make it with a half cup of lowfat milk and add raisinsnuke for  seconds more expensive than kroger store brand oatmeal and maybe a little tastier or better texture or something its still just oatmeal mmm convenient
39,4,i was visiting my friend nate the other morning for coffee  he came out of his storage room with  a packet of mccanns instant irish oatmeal  he suggested that i try it for my own use in my stash  sometimes nate dose not give you a chance to say no  so i ended up trying the apple and cinn  found it to be very tastefull when made with water or powdered milk  it goes good with oj and coffee and a slice of toast and your ready to take on the worldor the day at least  jerry reith
40,5,i ordered this for my wife as it was reccomended by our daughter  she has this almost every morning and likes all flavors  shes happy im happybr a hrefhttpwwwamazoncomgpproductbeoqwmccanns instant irish oatmeal variety pack of regular apples  cinnamon and maple  brown sugar count boxes pack of a
41,5,the variety packs taste greatbr br i have them every morning at  cents per meal i dont understand why everyone on earth isnt buying this stuff upbr br maple and brown sugar is terrific followed by apples and cinnamon followed by regular you dont get tired of the same ole thing and they taste greatbr br i just boil water from a small pot empty the packet or  in a bowl pour in boiling water and watch it expand to x its sizebr br taste really good and takes minutes to preparebr br not sure why everyone on earth isnt this convenient healthy very quick excellent quality and extremely cheap
42,5,mccanns makes oatmeal for every oatmeal connoisseur whether one likes it from the raw pellet state that cooks for half an hour to the sloth addled instant which can be done in the microwave for under three minutes its all good thats for sure and the beauty of the instant variety is that it is available in different flavors as well as regularbr   this variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between mccanns and other wellknown oatmeals what i personally like about mccanns is that it cooks up thicker and with more body than the top brand here in america the apples  cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add in my watt microwave the oatmeal cooks up in about one minute and twentyseven seconds so you should also watch that to get a handle on how much time and water to usebr   the only bad thing  if you can consider it a bad thing  about this offering is that you have to buy in lot so youll end up with six tencount boxes this is good if you have a whole family of oatmealeaters but if youre a single person alone  well love oatmeal
43,5,i have mccanns oatmeal every morning and by ordering it from amazon i am able to save almost  per boxbr it is a great product tastes great and very healthy
44,5,mccanns oatmeal is a good quality choice  our favorite is the apples and cinnamon but we find that none of these are overly sugary  for a good hot breakfast in  minutes this is excellent
45,5,we really like the mccanns steel cut oats but find we dont cook it up too oftenbr this tastes much better to me than the grocery store brands and is just as convenientbr anything that keeps me eating oatmeal regularly is a good thing
46,3,this seems a little more wholesome than some of the supermarket brands but it is somewhat mushy and doesnt have quite as much flavor either  it didnt pass muster with my kids so i probably wont buy it again
47,5,good oatmeal  i like the apple cinnamon the best  though i wouldnt follow the directions on the package since it always comes out too soupy for my taste  that could just be me since i like my oatmeal really thick to add some milk on top of
48,3,the flavors are good  however i do not see any differce between this and oaker oats brand  they are both mushy
49,4,i really like the maple and brown sugar flavor the regular is fine with brown sugar added the apples and cinnamon flavor is ok this is a very quick easy and satisfying breakfast and ill order this brand again but not the variety ill get all maple and brown sugar
50,3,this is the same stuff you can buy at the big box stores  there is nothing healthy about it  it is just carbs and sugars  save your money and get something that at least has some taste
51,1,this oatmeal is not good its mushy soft i dont like it quaker oats is the way to go
52,5,got a free package of these with a bottle of bloody mary mix i bought from the seller and the advertising workedlol  i tried them and shared them with  buddies and we all loved them  so im here to buy more and noticed there were no reviews yet  well now there is  they are hot  but not burn your mouth forever hot  its a nice temp  perfect for us
53,4,this wasnt in stock the last time i looked i had to go to the vermont country store in weston to find it along with a jaw harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newtons cradle art in motion and the staple vermont maple syrupbr br back to the ass kickin peanuts they are hot they will activate the perspiration glands behind your ears and under your arms it requires a beverage as advertised a glass of very cold milk and a box of kleenex since it will make your nose run they look like ordinary peanuts which is already giving me ideas for work i suspect that some people have been hitting my goodies in my absence especially my colleague greg im going to take this to work at earliest opportunity and empty the contents of this can into an ordinary planters peanuts can and then see whose crying or whose nose is running when i returnbr br the can should be shaken to ensure the spices are evenly distributed it is important to wash your hands after consumption and not touch the eyesbr br youll go nuts over these asskickin peanutsbr br ps im not sharing the peanuts not deliberately and ill probably give greg the jaw harp for christmas hell be so insulted
54,3,were used to spicy foods down here in south texas and these are not at all spicy  doubt very much habanero is used at all  could take it up a notch or two
55,4,i roast at home with a stovetop popcorn popper but i do it outside of course these beans coffee bean direct green mexican altura seem to be wellsuited for this method the first and second cracks are distinct and ive roasted the beans from medium to slightly dark with great results every time the aroma is strong and persistent the taste is smooth velvety yet lively
56,5,we roast these in a large cast iron pan on the grill about  of the bag at a time  the smell is wonderful and the roasted beans taste delicious too  more importantly the coffee is smooth no bitter aftertaste  on numerous occasions weve had to send the roasted beans home with friends because they like it so much
57,5,deal was awesome  arrived before halloween as indicated and was enough to satisfy trick or treaters  i love the quality of this product and it was much less expensive than the local stores candy
58,5,it is chocolate what can i say  great variety of everything our family loves  with a family of six it goes fast here  perfect variety  kit kat reeses take five and more
59,5,great product nice combination of chocolates and perfect size  the bags had plenty and they were shipped promptly  the kids in the neighborhood liked our candies
60,5,halloween is over but i sent a bag to my daughters class for her share the chocolate was fresh and enjoyed by many
61,3,watch your prices with this  while the assortment was good and i did get this on a gold box purchase the price for this wasbr  less at target
62,5,this bag of candy online is pretty expensive it should be cheaper in order to compete with grocery stores other than that its a good combination of my favorite candy
63,1,arrived in  days and were so stale i could not eat any of the  bags
64,5,i have used the endurolyte product for several years in both pill and powder form  long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder not overly tasty but quite effective as i never got a cramp on these several hundred mile rides  same for desert racing in the buggy the camelbaks were always laced with the powder  now we have the fizzwhat a great product  firstly its hammers endurolyte product so its great endurance athletes the world over use their products second its convenient handly tablets that dissovle in a fizz  third it tastes great imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than getting a salty taste you get a refreshing lemonlime or mango  the camelbaks always get the fizz now  i also drop a tablet in my bottled water whenever i exercise and have a nice flavored water chock full of electrolytes i cannot recommend this product or any hammer product highly enough
65,5,this product serves me well as a source of electrolytes during and after a long run or bike ridebr i have tried all of the flavors but really do like the grapefruit flavor no aftertaste and i actually like the slight carbonationbr i use other hammer products and really like their whole product line
66,5,this stuff really works for preventing cramping during the middle to latter stages of your rides pop  into each water bottle and youre set flavor is fine and goes down easy
67,5,for those of us on a low carb diet these little tablets are just the thingbr br two years ago i started cycling again after many years but was having heart arrhythmia after longer rides in high heat  i was drinking plain water but did a little research and thought electrolytes might be the issue  gatorade wasnt an option because it is so loaded with carbohydrates so i looked around for a lowcarb alternative  the zero carb sports drinks didnt help so what to do  one day i ran across these at my bike shop so tried a tube of themvoilaproblem solvedbr br ive shared them with two friends in particular whose problems with leg cramps were resolved while using thesebr br these guys got it right  they are superbly formulated and simply work
68,2,i purchased the mango flavor and to me it doesnt take like mango at all  there is no hint of sweetness and unfortunately there is a hint or aftertaste almost like licorice  ive been consuming various sports nutrition products for decades so im familiar and have come to like the taste of the most of the products ive tried  the mango flavor is one of the least appealing ive tasted  its not terrible but its bad enough that i notice the bad taste every sip i take
69,3,if youre impulsive like me then  is ok dont get me wrong the quality of these babies is very good and i have no complaints but in retrospect the price is a little ridiculous esp when you add on the shipping
70,5,this was sooooo deliscious but too bad i ate em too fast and gained  pds my fault
71,5,these albanese gummi bears and rings and so on are very good and tasty and high quality the bears even have little faces at my local candy store this type of gummi stuff bears rings snakes balls worms whatever are about lb these twin packs of  or  pound bags is a screaming deal as far as im concerned im probably  pounds deep in these friggin things consumed
72,5,grape gummy bears are hard to find in my area in fact pretty much anyone i talk to about grape gummy bears they think im lying so i bought lbs   these bears are a little bit bigger then the other brands and have kind of sour kick but nothing to strong i love grape flavored candysoda and these are pretty good there is another company that makes grape gummy bears that are a little bit better in my opinion but these are well worth it for the price i like to use the gummy bears in home made popsicles with flavored sports drink the salt in the sports drink makes for softer popsicles and the gummy bears are awesome frozen they are delicious
73,5,i ordered two of these and two of raspberry latice tarts directly from fantasicakes website for a dinner party i was hosting it arrived fresh and intact very good size i froze half for later use i am a pastry lover and these were the best ive ever tasted the pastry was soft the jam was really good and the taste was great they were gone in no time my guests were really impressed
74,1,buyer beware please this sweetener is not for everybody  maltitol is an alcohol sugar and can be undigestible in the body  you will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience nausea diarrhea  headaches can also be experienced i learned my lesson the hard way years ago when i fell in love with the sugarfree chocolates suzanne sommers used to sell  i thought id found sugarfree chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in  the discomfort was unlike anything i had ever felt before  i blew up like a balloon and had very painful abdominal cramping  as the symptoms passed this too was very unpleasant  though hard for me to believe a low calorie sweetener could be the culprit all symptoms were gone when i stopped eating the chocolate my hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when i purchased some delicious sugarfree popcorn at my local market  the taste was amazing and while i was looking at the label wondering what could possibly make this yummy new sugarfree treat taste so good my heart sank when i followed the little asterisk next to sugarfree sweetener down to the very bottom of the label and read maltitol in tiny little letters thank goodness id eaten only a little i still ended up with all the same sideeffects but for a much shorter duration some people can use maltitol to their hearts content but others like me can have a bad reaction to it in case youre like me  its not you its the maltitol
75,2,it is okay  i would not go out of my way to buy it again
76,1,no tea flavor at all just whole brunch of artifial flavors it is not returnable i wasted  bucks
77,5,these looked like a perfect snack to through in with my trail mix  unfortunately they arrived in a solid mass of melted chocolate  i left them in my pantry for a few days and when i opened them at room temperature they were still gooey  i through them in the fridge and ive been breaking off hunks ever since  they taste good to me but the chocolate is all grainy after melting and then solidifying again  i wont order them online again but if i see them in a store i would pick them up
78,5,these taste really good i have been purchasing a different brand and these are very similar in taste and texture i agree with the other reviewer regarding ordering in the summer there is no insulating packaging with ice packs so they will melt in warm weather like all chocolate food items order in cold weather and buy enough to last
79,3,the taste was great but the berries had melted  may order again in winter if you order in cold weather you should enjoy flavor
80,5,i know i cannot make tea this good  granted i am not from the south but i know i have never enjoyed tea that was this sweet without being too sweet  it tastes crisp
81,5,this peppermint stick is delicious and fun to eat  my dad got me one for christmas because he remembered me having a similar one when i was a little girl  im  now and i love it
82,4,great gift for all ages i purchased these giant canes before and the recipients loved them so much they kept them and would not eat them
83,5,i know the product title says molecular gastronomy but dont let that scare you off  i have been looking for this for a while now not for food science but for something more down to earth  i use it to make my own coffee creamerbr br i have to have my coffee blonde and sweet  but the flavored creamers are full of the bad kinds of fat and honestly i hate to use manufactured food items  i really dont think they are good for the body  on the other hand i hate using cold milk or cream because i like hot coffeebr br i stumbled across this on amazon one day and got the idea of making my own creamer  i also bought lowfat noninstant milk powder and regular milk powder the noninstant lowfat milk is a little sweeter and tastes fresher than regular instant lowfat milk but does not dissolve good in cold water  which is not a problem for hot coffee  you will have to play with the ratios  i would not do just the heavy cream it made the coffee too rich also i think the powder is too expensive to just use on its own i like mixing  of each togetherbr br for flavoring i bough cocoa bean powder vanilla bean powder and caster superfine sugar  i mix up small batches along with spices like cinnamon and nutmeg to make my own flavored creamers  if you wanted you could use a fake sweetner powder instead  i make up small amounts that i store in jelly canning jars i also use my little food chopperfood processor to blend everything so the sugar is not heavier and sinks to the bottom  let it settle for a bit before opening the top thoughbr br this stuff tastes way better than the storebought creamers and it is fun to experiment and come up with your own flavors  i am going to try using some essential oils next and see if i can get a good chocolateorange mixbr br all of the ingredients i mentioned are here online  take the time to experiment  maybe you dont use any lowfat milk or dont add any flavorings  it is up to you  also would make great housewarminghostess giftsbr br i am sure other molecular people will be able to tell you more of what you can do with it and i am sure i will experiment with it in cooking  but the main reason i bought it was to make my own creamer and it worked out great
84,3,while my dogs like all of the flavors that we have tried of this dog food for some reason their itching increased when i tried the lamb and rice i have some very itchy dogs and am giving them a limited ingredient dog food to try to help the duck and sweet potato cut down on the itching significantly but when we tried lamb and rice they started itching more once again i like natural balance for the quality ingredients
85,3,awesome dog food however when given to my boston who has severe reactions to some food ingredients his itching increased to violent jumping out of bed at night scratching as soon as i changed to a different formula the scratching stopped so glad natural balance has other choices i guess you have to try each until you find whats best for your pet
86,5,we have three dogs and all of them love this food  we bought it specifically for one of our dogs who has food allergies and it works great for him no more hot spots or tummy problemsbr i love that it ships right to our door with free shipping
87,5,my dog has a ton of allergies both environmental and food she was on a prescription dog food before we had her tested to see what allergies she has after we got the test back we learned she was allergic to something in the prescription brand so i finally found this dog food and she has done so well on this she still has her environmental triggers but i am happy she can finally eat something i know wont cause her pain
88,5,my shepherdcollie mix has ibs  our vet recommended a limited ingredient food  this has really helped her symptoms and she likes it  i will always buy it from amazonits  cheaper and free shipping
89,5,natural balance dry dog food lamb meal and brown rice recipe did wonders for my jack russell she has awful food allergys and this food was our last hope because it was the last food we could find that didnt have something in it that she was allergic to she has no problem eating it dry but normally i mix the natural balance dry lamb and brown rice with the natural balance wet lamb and brown rice she seems to like that better we started feeding it to our other dog a bichon too and she loves it if your dog has allergys or stomach issue or if you want your dog to eat better food this is it you will see a difference in your pet
90,5,great food i love the idea of one food for all ages  breeds ãžts a real convenience as well as a really good product  my  dogs eat less have almost no gas their poop is regular and a perfect consistency what else can a mom ask for
91,5,i have a standard poodle and pomeranian who both do wonderful on this food i have switched them to a different food due to price a couple of times and end up going right back to natural balance
92,5,this is great dog food my dog has severs allergies and this brand is the only one that we can feed him
93,5,this food is great  all ages dogs  i have a  year old and a puppy  they are both so soft and hardly ever get sick  the food is good especially when you have amazon prime shipping  
94,5,my golden retriever is one of the most picky dogs ive ever met  after experimenting with various types of food i have found she loves natural balance  what i really like about natural balance is the fact that it has multiple flavors in dry and wet varieties  i mix her dry food with a little wet food and my golden loves it  furthermore i do like mixing up the flavors each time as i think the same meal day over day might get a little boring so i figured why not  i tend to stay away from the fish type though as it smellsbr br additionally i started purchasing off amazon because petco didnt have the wet food box and only had a couple of cans  i came home and to my surprise realized that i could save  each time i bought dog food if i just buy it off amazonbr br all in all i definitely recommend and give my stamp of approval to natural balance dog food  while i have never eaten it my dog seems to love it
95,5,this is the same food we get at pet store but its delivered to my door and for the same price or slightly less
96,5,ive been very pleased with the natural balance dog food our dogs have had issues with other dog foods in the past and i had someone recommend natural balance grain free since it is possible they were allergic to grains since switching i havent had any issues it is also helpful that have have different kibble size for largersmaller sized dogs
97,5,my  year old basenjijack russell mix loves this dog food hes been noticeably healthier and more energetic since i switched him over from the standard dog foods earlier this year despite the higher cost of natural dog foods i find that he eats significantly less of the natural balance dog foods and still stays happy and full on the normal dog foods hed eat up to  cups of dog food a day the recommended serving for his size whereas he only eats about  cup to  cup of the natural balance dog food a day when you take this into account youre actually getting more bang for your buck with the natural dog foods since you dont have to buy as much to last just as long as the normal dog foods and a healthier happier dog to boot add in the fact that you can get free day shipping with amazon prime im sold
98,5,our pup has experienced allergies in forms of hotspots and itching from other dog foods the cheap you can buy it anywhere food not only have crazy preservatives in them but can cause health problems for your pets  this food works wonders on reducing allergies and our dog loves the foodbr this message is ramsey frankenstein approved
99,5,my english bulldog had skin allergies the summer we got him at age   the vet recommended we wean him off the food his previous owner gave him iams lamb and rice and onto a new kind  this was the second one we tried and it has been working ever since  its for dogs that need a limited diet who can be sensitive to additives and proteins commonly found in commercial dog food like chicken or beef
100,1,i fed this to my golden retriever and he hated it  he wouldnt eat it and when he did it gave him terrible diarrhea  we will not be buying this again  its also super expensive
101,5,the mouth says how do i love thee let me count the waysbr if you like apple products a must have item  the only draw back shipping cost  these are very heavy
102,4,arrived slightly thawed my parents wouldnt accept it however the company was very helpful and issued a full refund
103,4,the crust on these tarts are perfect  my husband loves these but im not so crazy about them  they are just too sourtart for my taste  ill eat the crust and hubby takes my filling  my kids think theyre great so maybe its just me
104,5,these are absolutely scrumptuous  my husband and i both love them however as another customer put it they are expensive to ship  the cost of shipping is more than the tartlets themselves are
105,5,what a nice alternative to an apple pie love the fact there was no slicing and dicing easy to prepare i also loved the fact that you can make them fresh whenever needed
106,5,i like creme brulee i loved that these were so easy just sprinkle on the sugar that came with and broil they look amazing and taste great my guess thought i really went out of the way for them when really it took all of  minutes i will be ordering more
107,3,not what i was expecting in terms of the companys reputation for excellent home delivery products
108,5,i first bought pickled asparagus at an amish market and it was love at first bite hence when i saw these on the discount rack at the local safeway i cleaned it out  these are even better than the ones from the amish market they are fantastic and some of the jars have a bonus clove of garlic at the bottom im going to order the six pack and im a household of one they wont go to waste
109,5,i love asparagus  up until very recently i had never had pickled asparagus  oh my goodness when a friend introduced me to this exact brand i couldnt believe how great stuff tasted  i loved it so much i bought the six pack  ive got  jars left  gonna need more
110,5,im presently on a diet and i was at my fresh and easy neighborhood grocery looking over possible diet foods i wanted things that were tasty nonfat and low in calories i came home with about a dozen items thats how i discovered the tillen farms pickled crispy asparagus well ive always liked asparagus anyway and ive enjoyed several brands of pickled asparagus this tillen farms brand is really really good its the best i can recall theres an excellent flavor and a big clove of garlic down in  the bottom of the jar which im looking forward to eating i cant believe how good this asparagus tastes and right on the front it says only  calories per jar now this is my idea of a good diet foodbr br gary peterson
111,2,i was diappointed in the flavor and texture of this mix  i usually like most of the low carb things i have tried but was diappointed in this specific one
112,5,i have been drinking this tea for a long time now  i used to have to purchase it at a doctors office because it wasnt available elsewhere  im so glad that i can buy it now from amazoncom  i drink this tea throughout the day like other folks drink coffee  wonderful taste
113,5,i have been drinking royal king  natural organic green tea  tea bags x g each as my every day tea for several years now  i buy  boxes at a time to save on shipping  for many years i used to drink coffee from morning till night  but finally i realized that drinking so much coffee was not healthy for me  i finally resolved to improve my health and stopped drinking coffee all together  i tried many alternative drinks to replace my coffee habit  i found that green tea was not only good tasting it also has health benefits  green tea is one of the few drinks that actually makes you healthier coffe and other drinks do not  the only healthier drink is quality cold water  in my opinion for the price royal king  natural organic green tea is one of the best tasting teas  this green tea has a beautiful golden color the taste is bright and fresh  i recommend adding a tiny amount of ys organic bee farms raw honey to the tea to add sweetness and health benefits too  i also give myself a treat once in a while by having a much more expense tea tribute xi hu long jing but this fantastic tea is not practical for me to drink as my every day tea although i would if i could afford itbr br cons  on my latest shipment the package shown on the amazon page is different than the one shipped  the one shipped displays naturally high in polyphenol catechins a key contributive element to the possible health effects of tea whereas the amazon package displays caffene free  so i am not sure if this green tea is caffene free or not  the other con is that sometimes the tea bag rips open when i unwrap the string from around the tea bag so if the string seems stuck to the tea bag i put the bag in the hot water to unstick it
114,5,this has to be one of the best teas i have ever tasted its clean bright freshbr br great deliveryagain quality just try it
115,5,i love love this green tea  it is very hard to find in our area and some places on the internet charge a big price and i usually dont get as many boxes as i did with this merchant  i will definitely order from this seller again thanks  i depend on my green tea fix everyday
116,5,i love this tea it helps curb my eating during the day my mom and i have given it all friends to try
117,5,im italian and i lived in italy for years i used to buy these cookies for my everyday breakfast with an italian espresso i couldnt find them anywhere here in the bay area so its great to have them again
118,5,in the s i spent several summers in italy this biscotti is often given as a breakfast food or midday snack they are simple and delicious and were not sold in the us back then they are so good that i brought back two bags from a recent trip to italy it is great to see that they may now be found on amazonbr br note it is great to open a bag smell the contents pour a glass of milk then dip the macines in the milk great routine and treat for kids
119,5,i had heard a little about this product from the local pet store then tried a small bag for our  cats of about  and  years respectively the female younger one took to it right away and the older male who was unfortunately weaned on the junk cat food with all the corn meal and etc in it and would usually refuse a diet change actually liked it too the older male is overweight and we were trying to switch him to soft food on the doctors request but he totally refused it he is a posh cat after all he still consumes too many calories the fatty but at least i know hes eating good food of course i know this product seems to cost more than most other feline food on the market but i just cant see feeding our animals the lousy alternatives that are out there marketed as being healthy why do commercials show cats eating a vegetarian diet which is mostly corn meal is that right ill stay with this for now but stay tunedbr br im updating this review after  months of using this cat food for our two cats i upgraded the stars from  to  as it really has been a good food for the two of them garfield still eats a little too much but hes just a big cat who doesnt exercise much lets face it our female cat will be  years old in a couple months and shes so healthy shes tiny but happy and agile i tried the chicken version of holistic select but garfield seemd to miss this sardine version so we went back to this one ive ordered the duck version and will update this once they try it
120,5,i started buying this after i noticed my  year old cat was already starting to lose his spunk so i decided it was time to start buying him real cat foodnot the garbage in the super markets i found this at the pet store out of the other million choices and im sure there are other brands that are just as good but this is the one i went with to try first and it was a great purchase my cat has been on this for the past  months and hes now just has active as he was when he was a kitten and his coat has became sooo soft mainly he loved the taste even more i highly recommend this brand to all my friends and family for their animals
121,5,i have done a lot of research to find the best food for my cat and this is an excellent food  that is also according to my holistic veterinarian  they put probiotics on the kibble as the last step which is very important to me  the best thing is that my cat loved it immediately and i had to stop mixing it with the old food because she only would eat holistic select
